Class                                              AP
Speech                                             0.8016
Male speech, man speaking                          0.0856
Female speech, woman speaking                      0.0853
Child speech, kid speaking                         0.4552
Conversation                                       0.3492
Narration, monologue                               0.2891
Babbling                                           0.4148
Speech synthesizer                                 0.3897
Shout                                              0.1788
Bellow                                             0.1225
Whoop                                              0.1141
Yell                                               0.2305
Battle cry                                         0.8791
Children shouting                                  0.5114
Screaming                                          0.2417
Whispering                                         0.7555
Laughter                                           0.4339
Baby laughter                                      0.5389
Giggle                                             0.1452
Snicker                                            0.1652
Belly laugh                                        0.3743
Chuckle, chortle                                   0.2207
Crying, sobbing                                    0.3422
Baby cry, infant cry                               0.4051
Whimper                                            0.2543
Wail, moan                                         0.1190
Sigh                                               0.3110
Singing                                            0.2893
Choir                                              0.7598
Yodeling                                           0.4418
Chant                                              0.4655
Mantra                                             0.3285
Male singing                                       0.1276
Female singing                                     0.1651
Child singing                                      0.4887
Synthetic singing                                  0.3934
Rapping                                            0.4917
Humming                                            0.4251
Groan                                              0.0900
Grunt                                              0.3559
Whistling                                          0.7072
Breathing                                          0.0931
Wheeze                                             0.2749
Snoring                                            0.7837
Gasp                                               0.1936
Pant                                               0.4271
Snort                                              0.1178
Cough                                              0.3986
Throat clearing                                    0.2336
Sneeze                                             0.3560
Sniff                                              0.3407
Run                                                0.1081
Shuffle                                            0.3307
Walk, footsteps                                    0.2578
Chewing, mastication                               0.5436
Biting                                             0.2798
Gargling                                           0.7263
Stomach rumble                                     0.7102
Burping, eructation                                0.5982
Hiccup                                             0.4848
Fart                                               0.7476
Hands                                              0.5309
Finger snapping                                    0.4819
Clapping                                           0.3873
Heart sounds, heartbeat                            0.6255
Heart murmur                                       0.4312
Cheering                                           0.5039
Applause                                           0.5616
Chatter                                            0.5625
Crowd                                              0.6714
Hubbub, speech noise, speech babble                0.3373
Children playing                                   0.5643
Animal                                             0.5247
Domestic animals, pets                             0.5841
Dog                                                0.5906
Bark                                               0.4436
Yip                                                0.1975
Howl                                               0.7166
Bow-wow                                            0.4251
Growling                                           0.4707
Whimper (dog)                                      0.1189
Cat                                                0.6063
Purr                                               0.8052
Meow                                               0.5445
Hiss                                               0.4536
Caterwaul                                          0.5579
Livestock, farm animals, working animals           0.5440
Horse                                              0.3395
Clip-clop                                          0.2473
Neigh, whinny                                      0.6642
Cattle, bovinae                                    0.8112
Moo                                                0.8252
Cowbell                                            0.6677
Pig                                                0.3605
Oink                                               0.2234
