Class                                              AP
Speech                                             0.8432
Male speech, man speaking                          0.0989
Female speech, woman speaking                      0.1282
Child speech, kid speaking                         0.4939
Conversation                                       0.4294
Narration, monologue                               0.1373
Babbling                                           0.6378
Speech synthesizer                                 0.5371
Shout                                              0.2121
Bellow                                             0.1772
Whoop                                              0.1804
Yell                                               0.2782
Battle cry                                         0.8570
Children shouting                                  0.5496
Screaming                                          0.3745
Whispering                                         0.8538
Laughter                                           0.5029
Baby laughter                                      0.6497
Giggle                                             0.3337
Snicker                                            0.2948
Belly laugh                                        0.2958
Chuckle, chortle                                   0.2515
Crying, sobbing                                    0.5478
Baby cry, infant cry                               0.5023
Whimper                                            0.3473
Wail, moan                                         0.1833
Sigh                                               0.3682
Singing                                            0.3705
Choir                                              0.7645
Yodeling                                           0.6488
Chant                                              0.5079
Mantra                                             0.3814
Male singing                                       0.2233
Female singing                                     0.3029
Child singing                                      0.5787
Synthetic singing                                  0.5141
Rapping                                            0.4821
Humming                                            0.5877
Groan                                              0.0966
Grunt                                              0.3676
Whistling                                          0.7394
Breathing                                          0.2005
Wheeze                                             0.2344
Snoring                                            0.8556
Gasp                                               0.2803
Pant                                               0.4955
Snort                                              0.2016
Cough                                              0.5383
Throat clearing                                    0.4676
Sneeze                                             0.5168
Sniff                                              0.4055
Run                                                0.3513
Shuffle                                            0.5210
Walk, footsteps                                    0.4522
Chewing, mastication                               0.6559
Biting                                             0.3335
Gargling                                           0.6731
Stomach rumble                                     0.7755
Burping, eructation                                0.6821
Hiccup                                             0.7626
Fart                                               0.8154
Hands                                              0.5521
Finger snapping                                    0.5485
Clapping                                           0.4798
Heart sounds, heartbeat                            0.6082
Heart murmur                                       0.3462
Cheering                                           0.5473
Applause                                           0.6216
Chatter                                            0.7215
Crowd                                              0.7275
Hubbub, speech noise, speech babble                0.3280
Children playing                                   0.6226
Animal                                             0.6463
Domestic animals, pets                             0.6629
Dog                                                0.6991
Bark                                               0.4596
Yip                                                0.2942
Howl                                               0.7564
Bow-wow                                            0.4897
Growling                                           0.3836
Whimper (dog)                                      0.2188
Cat                                                0.7591
Purr                                               0.8201
Meow                                               0.6454
Hiss                                               0.4404
Caterwaul                                          0.7230
Livestock, farm animals, working animals           0.7132
Horse                                              0.5738
Clip-clop                                          0.4936
Neigh, whinny                                      0.8696
Cattle, bovinae                                    0.9175
Moo                                                0.9143
Cowbell                                            0.6852
Pig                                                0.6265
Oink                                               0.4073
Goat                                               0.6334
Bleat                                              0.4507
Sheep                                              0.6106
Fowl                                               0.8734
Chicken, rooster                                   0.7941
Cluck                                              0.6631
Crowing, cock-a-doodle-doo                         0.8946
Turkey                                             0.9247
Gobble                                             0.9199
Duck                                               0.4550
Quack                                              0.6647
Goose                                              0.7974
Honk                                               0.7248
Wild animals                                       0.4072
Roaring cats (lions, tigers)                       0.5042
Roar                                               0.6066
Bird                                               0.5106
Bird vocalization, bird call, bird song            0.3393
Chirp, tweet                                       0.1547
Squawk                                             0.3616
Pigeon, dove                                       0.7468
Coo                                                0.8061
Crow                                               0.6954
Caw                                                0.7140
Owl                                                0.7766
Hoot                                               0.9318
