Class                                              AP
Speech                                             0.8438
Male speech, man speaking                          0.1241
Female speech, woman speaking                      0.1400
Child speech, kid speaking                         0.5257
Conversation                                       0.4786
Narration, monologue                               0.1431
Babbling                                           0.7140
Speech synthesizer                                 0.5260
Shout                                              0.2143
Bellow                                             0.1669
Whoop                                              0.2529
Yell                                               0.2814
Battle cry                                         0.8875
Children shouting                                  0.5215
Screaming                                          0.3915
Whispering                                         0.8253
Laughter                                           0.4809
Baby laughter                                      0.6772
Giggle                                             0.3690
Snicker                                            0.3161
Belly laugh                                        0.3128
Chuckle, chortle                                   0.2221
Crying, sobbing                                    0.5682
Baby cry, infant cry                               0.5074
Whimper                                            0.3830
Wail, moan                                         0.2333
Sigh                                               0.3420
Singing                                            0.3813
Choir                                              0.7457
Yodeling                                           0.6857
Chant                                              0.4879
Mantra                                             0.4162
Male singing                                       0.2394
Female singing                                     0.3296
Child singing                                      0.6165
Synthetic singing                                  0.5004
Rapping                                            0.5043
Humming                                            0.6337
Groan                                              0.0911
Grunt                                              0.3927
Whistling                                          0.8162
Breathing                                          0.1928
Wheeze                                             0.2901
Snoring                                            0.8955
Gasp                                               0.2898
Pant                                               0.4825
Snort                                              0.2139
Cough                                              0.5760
Throat clearing                                    0.5368
Sneeze                                             0.6618
Sniff                                              0.4063
Run                                                0.4278
Shuffle                                            0.5371
Walk, footsteps                                    0.4896
Chewing, mastication                               0.6607
Biting                                             0.3361
Gargling                                           0.6503
Stomach rumble                                     0.7342
Burping, eructation                                0.7285
Hiccup                                             0.8180
Fart                                               0.8547
Hands                                              0.5655
Finger snapping                                    0.5196
Clapping                                           0.4936
Heart sounds, heartbeat                            0.6155
Heart murmur                                       0.3561
Cheering                                           0.5121
Applause                                           0.6108
Chatter                                            0.7538
Crowd                                              0.7294
Hubbub, speech noise, speech babble                0.3253
Children playing                                   0.6877
Animal                                             0.6655
Domestic animals, pets                             0.6707
Dog                                                0.7475
Bark                                               0.4522
Yip                                                0.3660
Howl                                               0.7581
Bow-wow                                            0.5091
Growling                                           0.3943
Whimper (dog)                                      0.2424
Cat                                                0.7926
Purr                                               0.8211
Meow                                               0.6521
Hiss                                               0.4615
Caterwaul                                          0.7138
Livestock, farm animals, working animals           0.7261
Horse                                              0.6138
Clip-clop                                          0.5744
Neigh, whinny                                      0.8839
Cattle, bovinae                                    0.9171
Moo                                                0.9096
Cowbell                                            0.7246
Pig                                                0.6597
Oink                                               0.4578
Goat                                               0.6174
Bleat                                              0.5123
Sheep                                              0.6140
Fowl                                               0.8597
Chicken, rooster                                   0.7768
Cluck                                              0.6527
Crowing, cock-a-doodle-doo                         0.8999
Turkey                                             0.9122
Gobble                                             0.9103
Duck                                               0.4743
Quack                                              0.6623
Goose                                              0.8152
Honk                                               0.7321
Wild animals                                       0.4413
Roaring cats (lions, tigers)                       0.5553
Roar                                               0.5728
Bird                                               0.4960
Bird vocalization, bird call, bird song            0.3301
Chirp, tweet                                       0.1380
Squawk                                             0.2981
Pigeon, dove                                       0.7606
Coo                                                0.8188
Crow                                               0.7128
Caw                                                0.6764
Owl                                                0.7331
Hoot                                               0.9346
Bird flight, flapping wings                        0.7221
Canidae, dogs, wolves                              0.3508
Rodents, rats, mice                                0.4221
Mouse                                              0.1879
Patter                                             0.3460
Insect                                             0.8342
Cricket                                            0.6712
Mosquito                                           0.7698
Fly, housefly                                      0.8680
Buzz                                               0.0954
Bee, wasp, etc.                                    0.8059
Frog                                               0.9435
Croak                                              0.9348
Snake                                              0.6790
Rattle                                             0.0593
Whale vocalization                                 0.7403
Music                                              0.8624
Musical instrument                                 0.3961
Plucked string instrument                          0.5248
Guitar                                             0.6864
Electric guitar                                    0.5780
Bass guitar                                        0.5329
Acoustic guitar                                    0.5057
Steel guitar, slide guitar                         0.3574
Tapping (guitar technique)                         0.4934
Strum                                              0.3034
Banjo                                              0.7951
Sitar                                              0.5348
Mandolin                                           0.4755
Zither                                             0.6977
Ukulele                                            0.6030
Keyboard (musical)                                 0.4880
Piano                                              0.3833
Electric piano                                     0.4286
Organ                                              0.7951
Electronic organ                                   0.4843
Hammond organ                                      0.5771
Synthesizer                                        0.2252
Sampler                                            0.1785
Harpsichord                                        0.7797
Percussion                                         0.6115
Drum kit                                           0.6320
Drum machine                                       0.3159
Drum                                               0.5659
Snare drum                                         0.6783
Rimshot                                            0.6659
Drum roll                                          0.6467
Bass drum                                          0.6402
Timpani                                            0.7257
Tabla                                              0.6785
Cymbal                                             0.6077
Hi-hat                                             0.6813
Wood block                                         0.6957
Tambourine                                         0.6937
Rattle (instrument)                                0.3236
Maraca                                             0.3883
Gong                                               0.7244
Tubular bells                                      0.3378
Mallet percussion                                  0.3263
Marimba, xylophone                                 0.4014
Glockenspiel                                       0.4048
Vibraphone                                         0.5042
Steelpan                                           0.7936
Orchestra                                          0.3909
Brass instrument                                   0.8223
French horn                                        0.7566
Trumpet                                            0.5937
Trombone                                           0.6574
Bowed string instrument                            0.5391
String section                                     0.5353
Violin, fiddle                                     0.4125
Pizzicato                                          0.7273
Cello                                              0.6415
Double bass                                        0.6428
Wind instrument, woodwind instrument               0.7899
Flute                                              0.6425
Saxophone                                          0.7240
Clarinet                                           0.6143
Harp                                               0.7812
Bell                                               0.2499
Church bell                                        0.7372
Jingle bell                                        0.6889
Bicycle bell                                       0.7502
Tuning fork                                        0.7199
Chime                                              0.7454
Wind chime                                         0.8631
Change ringing (campanology)                       0.9322
Harmonica                                          0.9166
Accordion                                          0.8582
Bagpipes                                           0.9637
Didgeridoo                                         0.8909
Shofar                                             0.8720
Theremin                                           0.5407
Singing bowl                                       0.6260
Scratching (performance technique)                 0.5950
Pop music                                          0.2140
Hip hop music                                      0.3048
Beatboxing                                         0.6703
Rock music                                         0.1998
Heavy metal                                        0.3001
Punk rock                                          0.2428
Grunge                                             0.3424
Progressive rock                                   0.3732
Rock and roll                                      0.3600
Psychedelic rock                                   0.2310
